Month 	MainMtr	GrndMtr	1stMtr	2ndMtr	Grnd  	First	Second	Total
JAN-16	67474	6110	27217	3176	0000	0000	0000	0000
FEB-16	66952	6302	27331	3315 	680.41	1846.1	405.79	2899.0
Mar-16	68320	6644	27558	3366	2603	1954	 960	5454
Apr-16	68693	6670	27808	3409	360 	1621	 456	2410
May-16	69201	6673	28180	3489	230 	2320	 666	3180
Jun-16	69990	6693	28650	3707	398.66	3138.5	1604.2	5083.0
Jul-16	70457	6758	28974	3739	561.09	2007.4	376.81	2911.8
Aug-16	70976	6844	29346	3764	670.46	2298.8	323.15	3255.0
Sep-16	71569	6947	29693	3812	894.49	2311.3	575.11	3738.0
Oct-16	72032	7029	29983	3845	677.53	1837.3	404.31	2886.0
Nov-16	72350	7094	30140 	3893 	529.71	1003.5	442.15	1953.0
Dec-16	72558	7094	30294	3917	0.0		1060.7	374.59	1419.0
Jan-17	72761	7099	30432	3950	138.09	888.02	350.53	1361.0	
